txn_id,utr_ref,date,time,from_account_no,from_account_name,from_bank,to_account_no,to_account_name,to_bank,amount,mode
TXN01341,UTR999722350003,2024-01-08,22:22:00,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,35059071685,Sunita Rawat,HDFC Bank,18000,NEFT
TXN01250,UTR796320324801,2024-01-09,06:13:04,64162634588,Rajesh Sinha,SBI,18633362450,Ajay Yadav,HDFC Bank,7500,RTGS
TXN00883,UTR808325313185,2024-01-09,11:41:28,79909315319,Pranay Dutta Roy,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,Cash Deposit
TXN01011,UTR451090180096,2024-01-09,13:03:37,64281559570,Rohan Kapoor,HDFC Bank,09094330418,Karan Malhotra,HDFC Bank,7500,Cash Deposit
TXN01078,UTR431401741107,2024-01-09,15:08:52,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,99323421683,Tanvi Joshi,HDFC Bank,60000,NEFT
TXN00399,UTR909276216775,2024-01-09,17:20:17,05606834229,Lakhan Singh Bhatti,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,RTGS
TXN01189,UTR337410663332,2024-01-09,19:11:30,10884387334,Yash Chopra,Bank of Baroda,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,NEFT
TXN01431,UTR436739487427,2024-01-09,23:31:43,65580053757,Kavita Devi,Bank of Baroda,38708135078,Irfan Ali,Axis Bank,19041,UPI
TXN00458,UTR905346556761,2024-01-10,21:49:05,90413217740,Pappu Solanki,Kotak Mahindra Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,NEFT
TXN00815,UTR993409259963,2024-01-11,07:00:58,36247945967,Rekha Devi,Bank of Baroda,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,UPI
TXN01389,UTR302059425151,2024-01-11,12:06:55,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,68815550998,Poonam Chawla,Punjab National Bank,60000,NEFT
TXN01294,UTR513609800231,2024-01-11,16:42:58,52365451928,Farhana Begum,Kotak Mahindra Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,RTGS
TXN00443,UTR938764307260,2024-01-11,18:59:06,88481678051,Munna Tyagi,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,NEFT
TXN01043,UTR876541332755,2024-01-12,09:05:04,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,86831863542,Neha Agarwal,Axis Bank,60000,NEFT
TXN01098,UTR865503478129,2024-01-12,13:39:15,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,93902439957,Aditya Rathore,Axis Bank,35000,NEFT
TXN01035,UTR230426799191,2024-01-12,15:53:22,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,64281559570,Rohan Kapoor,HDFC Bank,60000,NEFT
TXN00635,UTR327971928995,2024-01-12,18:39:18,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,69705333835,Priya Singh,SBI,35000,NEFT
TXN00312,UTR442866385777,2024-01-12,22:02:46,08198427361,Amit Verma,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,RTGS
TXN01432,UTR236249531936,2024-01-13,13:37:15,54219677717,Deepak Chaudhary,ICICI Bank,65580053757,Kavita Devi,Bank of Baroda,90000,Cash Deposit
TXN00490,UTR943420893391,2024-01-13,14:07:07,90413217740,Pappu Solanki,Kotak Mahindra Bank,79909315319,Pranay Dutta Roy,Axis Bank,2500,UPI
TXN01429,UTR878873946636,2024-01-13,17:09:25,65580053757,Kavita Devi,Bank of Baroda,93902439957,Aditya Rathore,Axis Bank,18549,UPI
TXN01430,UTR201172478399,2024-01-13,18:48:49,65580053757,Kavita Devi,Bank of Baroda,23680352646,Simran Kaur,Kotak Mahindra Bank,22410,UPI
TXN01435,UTR825398671233,2024-01-14,06:56:18,65580053757,Kavita Devi,Bank of Baroda,76092570588,Deepak Yadav,SBI,26616,UPI
TXN01433,UTR286655401094,2024-01-14,11:45:19,65580053757,Kavita Devi,Bank of Baroda,23680352646,Simran Kaur,Kotak Mahindra Bank,38860,UPI
TXN01095,UTR858133807038,2024-01-14,15:31:12,93902439957,Aditya Rathore,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,Cash Deposit
TXN00740,UTR793158258172,2024-01-14,18:15:55,78264257436,Naveen Kumar Sharma,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,NEFT
TXN01300,UTR167020725389,2024-01-15,11:52:46,76092570588,Deepak Yadav,SBI,42679916140,Imran Sheikh,HDFC Bank,1200,IMPS
TXN00304,UTR633938731467,2024-01-15,16:06:40,08198427361,Amit Verma,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,IMPS
TXN01169,UTR518353195596,2024-01-15,18:53:57,75073462726,Meera Nair,ICICI Bank,64281559570,Rohan Kapoor,HDFC Bank,7500,UPI
TXN01324,UTR742993426965,2024-01-15,22:44:21,76092570588,Deepak Yadav,SBI,43686792403,Salman Qureshi,SBI,4000,RTGS
TXN00410,UTR845815101496,2024-01-16,06:52:52,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,05606834229,Lakhan Singh Bhatti,SBI,45000,NEFT
TXN00755,UTR715804194842,2024-01-16,14:09:13,44760461844,Farhan Ahmed,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,NEFT
TXN01216,UTR379429263354,2024-01-16,17:37:02,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,65117077513,Abid Khan,Kotak Mahindra Bank,60000,NEFT
TXN00439,UTR292273632287,2024-01-17,12:15:50,88481678051,Munna Tyagi,Punjab National Bank,64733283579,Nikhil Sharma,Punjab National Bank,2500,Cash Withdrawal
TXN00431,UTR825609538760,2024-01-17,15:45:59,88481678051,Munna Tyagi,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,RTGS
TXN01192,UTR628510759416,2024-01-17,17:25:42,10884387334,Yash Chopra,Bank of Baroda,65117077513,Abid Khan,Kotak Mahindra Bank,2500,UPI
TXN01198,UTR874645996196,2024-01-17,18:37:49,65117077513,Abid Khan,Kotak Mahindra Bank,68040380973,Sunil Malik,ICICI Bank,4000,UPI
TXN00406,UTR517511703965,2024-01-17,23:12:46,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,05606834229,Lakhan Singh Bhatti,SBI,45000,NEFT
TXN00072,UTR924322566973,2024-01-18,06:06:56,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,18633362450,Ajay Yadav,HDFC Bank,35000,NEFT
TXN01390,UTR350486653487,2024-01-18,06:22:37,68815550998,Poonam Chawla,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,Cash Deposit
TXN00303,UTR441223448307,2024-01-18,08:16:27,08198427361,Amit Verma,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,IMPS
TXN00174,UTR997787642754,2024-01-18,12:01:46,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,43686792403,Salman Qureshi,SBI,22000,NEFT
TXN01434,UTR697714296025,2024-01-18,23:51:32,65580053757,Kavita Devi,Bank of Baroda,41992454521,Anita Rani,Axis Bank,24524,UPI
TXN00176,UTR433503446341,2024-01-19,10:16:04,43686792403,Salman Qureshi,SBI,42679916140,Imran Sheikh,HDFC Bank,2500,Cash Deposit
TXN00493,UTR713929709926,2024-01-19,14:00:32,90413217740,Pappu Solanki,Kotak Mahindra Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,RTGS
TXN00715,UTR923685651708,2024-01-19,17:40:00,41992454521,Anita Rani,Axis Bank,36247945967,Rekha Devi,Bank of Baroda,1200,UPI
TXN00483,UTR960564188014,2024-01-19,18:36:19,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,90413217740,Pappu Solanki,Kotak Mahindra Bank,60000,NEFT
TXN00705,UTR298921195834,2024-01-19,19:18:50,41992454521,Anita Rani,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,Cash Deposit
TXN00730,UTR982806952088,2024-01-19,20:57:21,78264257436,Naveen Kumar Sharma,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,UPI
TXN00130,UTR573762824990,2024-01-20,09:31:58,42679916140,Imran Sheikh,HDFC Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,RTGS
TXN00854,UTR835458780487,2024-01-20,11:23:29,94695183670,Vivek Malhotra,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,Cash Deposit
TXN00762,UTR723177734710,2024-01-20,22:00:11,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,44760461844,Farhan Ahmed,Punjab National Bank,22000,NEFT
TXN01091,UTR575825741215,2024-01-21,07:27:33,93902439957,Aditya Rathore,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,NEFT
TXN00248,UTR264993501099,2024-01-21,08:49:36,64733283579,Nikhil Sharma,Punjab National Bank,41492355953,Arjun Mehta,ICICI Bank,500,Cash Withdrawal
TXN01006,UTR458112620295,2024-01-21,10:46:14,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,64281559570,Rohan Kapoor,HDFC Bank,45000,NEFT
TXN00839,UTR192218248392,2024-01-21,21:55:57,94695183670,Vivek Malhotra,Axis Bank,68815550998,Poonam Chawla,Punjab National Bank,7500,Cash Deposit
TXN01337,UTR314552797802,2024-01-22,07:21:14,35059071685,Sunita Rawat,HDFC Bank,68815550998,Poonam Chawla,Punjab National Bank,1200,UPI
TXN00691,UTR557986075910,2024-01-22,07:23:57,41992454521,Anita Rani,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,IMPS
TXN00932,UTR987617715355,2024-01-22,10:46:21,41492355953,Arjun Mehta,ICICI Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,UPI
TXN00127,UTR471282996171,2024-01-22,13:33:17,42679916140,Imran Sheikh,HDFC Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,RTGS
TXN00452,UTR939779815346,2024-01-22,18:11:14,88481678051,Munna Tyagi,Punjab National Bank,44396022575,Chandu Meena,Axis Bank,1200,NEFT
TXN01029,UTR902886285814,2024-01-22,19:16:37,64281559570,Rohan Kapoor,HDFC Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,RTGS
TXN00447,UTR445372572947,2024-01-22,19:44:42,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,88481678051,Munna Tyagi,Punjab National Bank,35000,NEFT
TXN00336,UTR753103132873,2024-01-24,06:58:59,16568651026,Bhola Prasad,ICICI Bank,10884387334,Yash Chopra,Bank of Baroda,2500,RTGS
TXN00191,UTR341525918861,2024-01-24,09:57:12,43686792403,Salman Qureshi,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,Cash Deposit
TXN01282,UTR670088703592,2024-01-24,11:58:18,52365451928,Farhana Begum,Kotak Mahindra Bank,79909315319,Pranay Dutta Roy,Axis Bank,1200,Cash Withdrawal
TXN00360,UTR679979098771,2024-01-24,16:56:08,80450816830,Chhotu Ansari,SBI,35059071685,Sunita Rawat,HDFC Bank,500,IMPS
TXN00868,UTR487283227296,2024-01-24,18:07:57,94695183670,Vivek Malhotra,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,RTGS
TXN00434,UTR647464857562,2024-01-24,19:42:11,88481678051,Munna Tyagi,Punjab National Bank,86831863542,Neha Agarwal,Axis Bank,1200,IMPS
TXN00578,UTR380616876142,2024-01-24,22:43:45,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,24798510995,Rustam Ali,Bank of Baroda,45000,NEFT
TXN00358,UTR817636246689,2024-01-24,22:50:28,80450816830,Chhotu Ansari,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,RTGS
TXN00882,UTR959082714174,2024-01-25,08:36:22,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,79909315319,Pranay Dutta Roy,Axis Bank,45000,NEFT
TXN01053,UTR259048006801,2024-01-25,11:56:14,86831863542,Neha Agarwal,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,NEFT
TXN00271,UTR605237641216,2024-01-25,15:02:55,64733283579,Nikhil Sharma,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,Cash Withdrawal
TXN00933,UTR607194108784,2024-01-25,15:20:46,41492355953,Arjun Mehta,ICICI Bank,90413217740,Pappu Solanki,Kotak Mahindra Bank,4000,Cash Deposit
TXN00574,UTR386714602795,2024-01-25,16:01:01,24798510995,Rustam Ali,Bank of Baroda,68040380973,Sunil Malik,ICICI Bank,2500,Cash Withdrawal
TXN00025,UTR678373053581,2024-01-25,20:11:57,68040380973,Sunil Malik,ICICI Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,IMPS
TXN00640,UTR616767903231,2024-01-26,15:30:17,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,69705333835,Priya Singh,SBI,45000,NEFT
TXN01191,UTR894170805476,2024-01-27,08:01:49,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,10884387334,Yash Chopra,Bank of Baroda,45000,NEFT
TXN00559,UTR510500883733,2024-01-27,17:20:52,24798510995,Rustam Ali,Bank of Baroda,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,RTGS
TXN00557,UTR650956570112,2024-01-27,17:49:37,44396022575,Chandu Meena,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,Cash Withdrawal
TXN01021,UTR516164725821,2024-01-27,19:51:38,64281559570,Rohan Kapoor,HDFC Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,IMPS
TXN00556,UTR989385135522,2024-01-28,08:56:07,44396022575,Chandu Meena,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,Cash Withdrawal
TXN00765,UTR482172499771,2024-01-28,10:24:38,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,44760461844,Farhan Ahmed,Punjab National Bank,60000,NEFT
TXN01293,UTR149640558495,2024-01-28,12:26:04,52365451928,Farhana Begum,Kotak Mahindra Bank,90413217740,Pappu Solanki,Kotak Mahindra Bank,2500,UPI
TXN00703,UTR329045039763,2024-01-28,22:42:46,41992454521,Anita Rani,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,NEFT
TXN01379,UTR108065164658,2024-01-29,07:06:54,68815550998,Poonam Chawla,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,UPI
TXN01270,UTR191851582908,2024-01-29,09:34:43,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,52365451928,Farhana Begum,Kotak Mahindra Bank,60000,NEFT
TXN01285,UTR831582750010,2024-01-29,15:14:56,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,52365451928,Farhana Begum,Kotak Mahindra Bank,22000,NEFT
TXN00445,UTR991636738563,2024-01-29,17:08:39,88481678051,Munna Tyagi,Punjab National Bank,64162634588,Rajesh Sinha,SBI,4000,Cash Deposit
TXN00709,UTR479021685984,2024-01-29,19:50:05,41992454521,Anita Rani,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,IMPS
TXN00662,UTR352603322852,2024-01-29,20:33:49,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,69705333835,Priya Singh,SBI,22000,NEFT
TXN01231,UTR851310981306,2024-01-30,07:28:57,65117077513,Abid Khan,Kotak Mahindra Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,Cash Withdrawal
TXN01171,UTR837986048776,2024-01-30,14:54:18,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,75073462726,Meera Nair,ICICI Bank,22000,NEFT
TXN00328,UTR919541034267,2024-01-30,22:42:51,16568651026,Bhola Prasad,ICICI Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,Cash Deposit
TXN01118,UTR195147107616,2024-01-31,10:48:11,71327117523,Ishita Bose,SBI,76092570588,Deepak Yadav,SBI,4000,IMPS
TXN00583,UTR637554339129,2024-01-31,11:30:30,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,24798510995,Rustam Ali,Bank of Baroda,22000,NEFT
TXN00432,UTR821051312265,2024-01-31,12:44:55,88481678051,Munna Tyagi,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,RTGS
TXN01136,UTR158282255950,2024-01-31,23:52:25,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,71327117523,Ishita Bose,SBI,18000,NEFT
TXN01301,UTR719278068865,2024-02-01,06:11:59,76092570588,Deepak Yadav,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,IMPS
TXN01272,UTR312308804751,2024-02-01,14:38:27,52365451928,Farhana Begum,Kotak Mahindra Bank,55933722348,Vikas Tomar,ICICI Bank,4000,IMPS
TXN00772,UTR308407804736,2024-02-01,19:35:00,44760461844,Farhan Ahmed,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,IMPS
TXN00300,UTR121988575538,2024-02-02,14:32:43,08198427361,Amit Verma,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,RTGS
TXN00712,UTR575163473348,2024-02-02,16:51:15,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,41992454521,Anita Rani,Axis Bank,35000,NEFT
TXN01276,UTR545039395955,2024-02-02,22:26:27,52365451928,Farhana Begum,Kotak Mahindra Bank,64733283579,Nikhil Sharma,Punjab National Bank,500,Cash Deposit
TXN01129,UTR408321199313,2024-02-03,12:47:39,71327117523,Ishita Bose,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,Cash Withdrawal
TXN01266,UTR246498076889,2024-02-03,19:46:26,64162634588,Rajesh Sinha,SBI,05606834229,Lakhan Singh Bhatti,SBI,7500,Cash Withdrawal
TXN00748,UTR742014221644,2024-02-03,22:40:42,78264257436,Naveen Kumar Sharma,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,Cash Deposit
TXN01151,UTR522607497225,2024-02-03,23:13:21,09094330418,Karan Malhotra,HDFC Bank,64162634588,Rajesh Sinha,SBI,4000,NEFT
TXN01045,UTR480440260832,2024-02-03,23:17:53,86831863542,Neha Agarwal,Axis Bank,79909315319,Pranay Dutta Roy,Axis Bank,2500,Cash Deposit
TXN00695,UTR640182605128,2024-02-03,23:37:40,41992454521,Anita Rani,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,IMPS
TXN00319,UTR923363902190,2024-02-04,08:56:40,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,38037979360,Rohit Bansal,ICICI Bank,45000,NEFT
TXN01387,UTR381679973617,2024-02-05,14:02:42,68815550998,Poonam Chawla,Punjab National Bank,24798510995,Rustam Ali,Bank of Baroda,7500,Cash Withdrawal
TXN01323,UTR776294740976,2024-02-05,14:35:15,76092570588,Deepak Yadav,SBI,36247945967,Rekha Devi,Bank of Baroda,500,UPI
TXN01375,UTR884606965894,2024-02-05,15:53:41,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,68815550998,Poonam Chawla,Punjab National Bank,22000,NEFT
TXN00292,UTR821824088712,2024-02-05,18:41:45,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,08198427361,Amit Verma,SBI,35000,NEFT
TXN00820,UTR102211391020,2024-02-05,23:13:52,36247945967,Rekha Devi,Bank of Baroda,44396022575,Chandu Meena,Axis Bank,7500,RTGS
TXN01288,UTR221862358469,2024-02-06,09:31:13,52365451928,Farhana Begum,Kotak Mahindra Bank,88481678051,Munna Tyagi,Punjab National Bank,4000,RTGS
TXN00588,UTR434796220473,2024-02-06,15:30:52,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,24798510995,Rustam Ali,Bank of Baroda,35000,NEFT
TXN01229,UTR888140595803,2024-02-06,16:54:00,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,65117077513,Abid Khan,Kotak Mahindra Bank,35000,NEFT
TXN01279,UTR607200808678,2024-02-06,16:55:36,52365451928,Farhana Begum,Kotak Mahindra Bank,18056893044,Ramesh Chandra Pandey,Punjab National Bank,4000,IMPS
TXN01352,UTR977537087081,2024-02-06,21:37:44,35059071685,Sunita Rawat,HDFC Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,Cash Deposit
TXN00361,UTR358489663001,2024-02-07,07:07:19,80450816830,Chhotu Ansari,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,UPI
TXN00916,UTR338481388611,2024-02-07,13:38:12,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,43588299843,Kavya Reddy,HDFC Bank,60000,NEFT
TXN00630,UTR795341350092,2024-02-08,11:51:29,69705333835,Priya Singh,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,NEFT
TXN00279,UTR405063380653,2024-02-08,14:48:09,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,08198427361,Amit Verma,SBI,35000,NEFT
TXN00144,UTR852419124573,2024-02-08,16:17:51,54219677717,Deepak Chaudhary,ICICI Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,IMPS
TXN00348,UTR940178740466,2024-02-08,21:09:20,80450816830,Chhotu Ansari,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,NEFT
